frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
186,496.0,581.33,175.8,100.0,93.8,94.08,187.5,93.33,58.6,60.14,82.0,55.64
187,498.67,584.0,175.8,100.0,187.5,97.9,93.8,97.67,58.6,67.09,82.0,55.2
188,501.33,586.67,187.5,100.0,93.8,98.56,175.8,96.07,58.6,71.95,46.9,57.52
189,504.0,589.33,187.5,100.0,93.8,97.44,175.8,89.33,58.6,74.87,46.9,62.91
190,506.67,592.0,187.5,100.0,93.8,96.28,175.8,82.13,58.6,77.19,46.9,69.7
191,509.33,594.67,187.5,100.0,93.8,94.91,58.6,78.97,46.9,77.35,175.8,74.67
192,512.0,597.33,187.5,100.0,93.8,93.41,46.9,85.18,58.6,80.16,175.8,67.2
193,514.67,600.0,187.5,100.0,46.9,92.81,93.8,91.97,58.6,80.61,175.8,60.29
194,517.33,602.67,187.5,100.0,46.9,99.8,93.8,90.66,58.6,80.36,35.2,61.09
195,520.0,605.33,46.9,100.0,187.5,94.59,93.8,84.43,58.6,75.04,35.2,64.38
196,522.67,608.0,46.9,100.0,187.5,90.51,93.8,79.48,58.6,70.11,35.2,67.85
197,525.33,610.67,46.9,100.0,187.5,87.57,93.8,75.68,35.2,71.46,58.6,65.39
198,528.0,613.33,46.9,100.0,187.5,85.55,35.2,75.14,93.8,72.77,58.6,60.58
199,530.67,616.0,46.9,100.0,187.5,84.13,35.2,78.83,93.8,70.53,58.6,55.37
200,533.33,618.67,46.9,100.0,187.5,83.3,35.2,82.56,93.8,68.86,175.8,51.97
201,536.0,621.33,46.9,100.0,35.2,85.96,187.5,82.87,93.8,67.77,175.8,55.25
202,538.67,624.0,46.9,100.0,35.2,88.64,187.5,82.54,93.8,67.24,175.8,57.96
203,541.33,626.67,46.9,100.0,35.2,90.5,187.5,82.17,93.8,67.02,175.8,59.78
204,544.0,629.33,46.9,100.0,35.2,91.61,187.5,81.47,93.8,66.75,175.8,60.63
