frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
181,482.67,568.0,175.8,37.52,93.8,34.23,187.5,33.73,82.0,24.35,46.9,17.69
182,485.33,570.67,175.8,38.67,93.8,34.8,187.5,34.05,82.0,23.97,46.9,17.8
183,488.0,573.33,175.8,39.32,93.8,35.23,187.5,34.39,82.0,23.43,46.9,17.8
184,490.67,576.0,175.8,39.41,93.8,35.49,187.5,34.74,82.0,22.79,58.6,18.86
185,493.33,578.67,175.8,38.94,93.8,35.65,187.5,35.1,82.0,22.02,58.6,20.92
186,496.0,581.33,175.8,37.94,93.8,35.7,187.5,35.41,58.6,22.82,82.0,21.11
187,498.67,584.0,175.8,36.44,187.5,35.68,93.8,35.59,58.6,24.45,82.0,20.12
188,501.33,586.67,187.5,35.88,93.8,35.37,175.8,34.47,58.6,25.82,46.9,20.64
189,504.0,589.33,187.5,35.99,93.8,35.07,175.8,32.15,58.6,26.95,46.9,22.64
190,506.67,592.0,187.5,36.02,93.8,34.67,175.8,29.58,58.6,27.8,46.9,25.1
191,509.33,594.67,187.5,35.99,93.8,34.15,58.6,28.42,46.9,27.84,175.8,26.87
192,512.0,597.33,187.5,35.95,93.8,33.59,46.9,30.63,58.6,28.82,175.8,24.16
193,514.67,600.0,187.5,35.93,46.9,33.35,93.8,33.05,58.6,28.96,175.8,21.67
194,517.33,602.67,187.5,35.92,46.9,35.85,93.8,32.56,58.6,28.86,35.2,21.94
195,520.0,605.33,46.9,37.98,187.5,35.93,93.8,32.07,58.6,28.5,35.2,24.45
196,522.67,608.0,46.9,39.68,187.5,35.91,93.8,31.54,58.6,27.82,35.2,26.92
197,525.33,610.67,46.9,40.93,187.5,35.84,93.8,30.97,35.2,29.25,58.6,26.76
198,528.0,613.33,46.9,41.74,187.5,35.7,35.2,31.36,93.8,30.37,58.6,25.28
199,530.67,616.0,46.9,42.15,187.5,35.46,35.2,33.22,93.8,29.72,58.6,23.34
200,533.33,618.67,46.9,42.18,187.5,35.13,35.2,34.82,93.8,29.04,175.8,21.92
201,536.0,621.33,46.9,41.95,35.2,36.06,187.5,34.77,93.8,28.43,175.8,23.18
202,538.67,624.0,46.9,41.61,35.2,36.88,187.5,34.34,93.8,27.97,175.8,24.12
203,541.33,626.67,46.9,41.21,35.2,37.29,187.5,33.86,93.8,27.62,175.8,24.63
204,544.0,629.33,46.9,40.83,35.2,37.41,187.5,33.27,93.8,27.26,175.8,24.76
205,546.67,632.0,46.9,40.61,35.2,37.28,187.5,32.56,93.8,26.86,175.8,24.49
206,549.33,634.67,46.9,40.7,35.2,36.92,187.5,31.75,93.8,26.44,175.8,23.8
207,552.0,637.33,46.9,41.24,35.2,36.35,187.5,30.8,93.8,26.09,175.8,22.8
208,554.67,640.0,46.9,42.22,35.2,35.74,187.5,29.77,93.8,25.85,175.8,21.49
209,557.33,642.67,46.9,43.57,35.2,35.29,187.5,28.69,93.8,25.72,175.8,19.96
210,560.0,645.33,46.9,45.25,35.2,35.09,187.5,27.56,93.8,25.72,175.8,18.35
211,562.67,648.0,46.9,47.2,35.2,35.16,187.5,26.42,93.8,25.73,58.6,16.86
212,565.33,650.67,46.9,49.38,35.2,35.52,93.8,25.62,187.5,25.23,58.6,19.18
213,568.0,653.33,46.9,51.62,35.2,36.31,93.8,25.46,187.5,24.09,58.6,21.12
214,570.67,656.0,46.9,53.78,35.2,37.55,93.8,25.3,187.5,23.04,58.6,22.76
215,573.33,658.67,46.9,55.83,35.2,39.03,93.8,25.26,58.6,24.11,187.5,22.07
216,576.0,661.33,46.9,57.74,35.2,40.61,93.8,25.38,58.6,25.16,187.5,21.26
217,578.67,664.0,46.9,59.38,35.2,42.29,58.6,25.95,93.8,25.51,187.5,20.57
218,581.33,666.67,46.9,60.62,35.2,44.11,58.6,26.55,93.8,25.56,187.5,20.06
219,584.0,669.33,46.9,61.47,35.2,45.88,58.6,26.88,93.8,25.43,187.5,19.75
220,586.67,672.0,46.9,62.08,35.2,47.4,58.6,26.77,93.8,24.99,187.5,19.6
221,589.33,674.67,46.9,62.4,35.2,48.64,58.6,26.21,93.8,24.35,187.5,19.6
222,592.0,677.33,46.9,62.38,35.2,49.66,58.6,25.28,93.8,23.65,187.5,19.73
223,594.67,680.0,46.9,62.07,35.2,50.41,58.6,23.94,93.8,22.96,187.5,19.94
224,597.33,682.67,46.9,61.51,35.2,50.83,93.8,22.29,58.6,22.26,187.5,20.21
225,600.0,685.33,46.9,60.77,35.2,50.87,93.8,21.59,187.5,20.52,58.6,20.33
226,602.67,688.0,46.9,59.82,35.2,50.57,93.8,20.89,187.5,20.88,58.6,18.38
227,605.33,690.67,46.9,58.59,35.2,50.04,187.5,21.28,93.8,20.27,152.3,17.68
228,608.0,693.33,46.9,57.13,35.2,49.28,187.5,21.66,93.8,19.78,152.3,18.93
229,610.67,696.0,46.9,55.49,35.2,48.25,187.5,22.02,152.3,19.9,93.8,19.44
230,613.33,698.67,46.9,53.64,35.2,46.95,187.5,22.31,152.3,20.47,93.8,19.34
231,616.0,701.33,46.9,51.55,35.2,45.48,187.5,22.53,152.3,20.62,93.8,19.41
232,618.67,704.0,46.9,49.16,35.2,43.94,187.5,22.65,152.3,20.38,93.8,19.57
233,621.33,706.67,46.9,46.54,35.2,42.26,187.5,22.61,152.3,19.77,93.8,19.71
234,624.0,709.33,46.9,43.73,35.2,40.4,187.5,22.45,93.8,19.82,175.8,19.76
235,626.67,712.0,46.9,40.64,35.2,38.46,187.5,22.14,175.8,21.7,93.8,20.05
236,629.33,714.67,46.9,37.23,35.2,36.59,175.8,23.39,187.5,21.66,93.8,20.53
237,632.0,717.33,35.2,34.78,46.9,33.58,175.8,24.68,93.8,21.25,187.5,21.07
238,634.67,720.0,35.2,32.94,46.9,29.81,175.8,25.58,93.8,22.21,187.5,20.36
239,637.33,722.67,35.2,31.06,175.8,26.09,46.9,25.98,93.8,23.28,187.5,19.52
240,640.0,725.33,35.2,29.24,175.8,26.18,93.8,24.36,46.9,22.18,187.5,18.57
241,642.67,728.0,35.2,27.48,175.8,25.92,93.8,25.35,46.9,18.62,187.5,17.47
242,645.33,730.67,93.8,26.15,35.2,25.67,175.8,25.37,187.5,16.24,46.9,15.58
243,648.0,733.33,93.8,26.83,175.8,24.54,35.2,23.76,82.0,16.47,187.5,14.9
244,650.67,736.0,93.8,27.46,175.8,23.55,35.2,21.81,82.0,17.51,187.5,13.41
245,653.33,738.67,93.8,27.99,175.8,22.44,35.2,19.86,82.0,18.4,164.1,13.14
246,656.0,741.33,93.8,28.37,175.8,21.26,82.0,19.1,35.2,17.95,164.1,14.26
247,658.67,744.0,93.8,28.55,175.8,20.09,82.0,19.65,35.2,16.05,164.1,15.08
248,661.33,746.67,93.8,28.52,82.0,20.0,175.8,18.97,164.1,15.47,70.3,14.21
249,664.0,749.33,93.8,28.34,82.0,20.04,175.8,17.98,164.1,15.3,70.3,15.14
250,666.67,752.0,93.8,28.02,82.0,19.69,175.8,17.14,58.6,15.95,70.3,15.81
251,669.33,754.67,93.8,27.66,82.0,18.87,58.6,17.17,175.8,16.43,70.3,16.21
252,672.0,757.33,93.8,27.32,58.6,18.17,82.0,17.52,70.3,16.41,175.8,15.88
253,674.67,760.0,93.8,26.95,58.6,18.96,70.3,16.38,82.0,15.75,175.8,15.48
254,677.33,762.67,93.8,26.5,58.6,19.51,70.3,16.1,175.8,15.22,105.5,15.2
255,680.0,765.33,93.8,25.93,58.6,19.73,70.3,15.69,105.5,15.27,175.8,15.11
256,682.67,768.0,93.8,25.28,58.6,19.64,175.8,15.2,70.3,15.14,105.5,15.11
257,685.33,770.67,93.8,24.58,58.6,19.26,187.5,15.89,175.8,15.44,105.5,14.67
258,688.0,773.33,93.8,23.73,58.6,18.47,187.5,17.59,175.8,15.86,105.5,14.08
259,690.67,776.0,93.8,22.7,187.5,19.27,58.6,17.29,175.8,16.52,152.3,14.08
260,693.33,778.67,93.8,21.55,187.5,20.93,175.8,17.47,58.6,15.78,152.3,14.33
261,696.0,781.33,187.5,22.54,93.8,20.41,175.8,18.73,152.3,14.65,58.6,13.94
262,698.67,784.0,187.5,24.1,175.8,20.27,93.8,19.39,140.6,15.35,152.3,15.11
263,701.33,786.67,187.5,25.65,175.8,21.94,93.8,18.45,140.6,17.07,152.3,15.71
264,704.0,789.33,187.5,27.2,175.8,23.66,140.6,18.66,93.8,17.64,152.3,16.43
265,706.67,792.0,187.5,28.75,175.8,25.31,140.6,20.07,152.3,17.24,93.8,16.95
266,709.33,794.67,187.5,30.38,175.8,26.74,140.6,21.43,152.3,17.96,35.2,17.35
267,712.0,797.33,187.5,32.1,175.8,27.92,140.6,22.81,35.2,20.37,152.3,18.46
268,714.67,800.0,187.5,33.82,175.8,28.89,140.6,24.17,35.2,23.47,46.9,19.15
269,717.33,802.67,187.5,35.54,175.8,29.64,35.2,26.53,140.6,25.44,46.9,22.42
270,720.0,805.33,187.5,37.19,175.8,30.22,35.2,29.44,140.6,26.58,46.9,26.18
271,722.67,808.0,187.5,38.76,35.2,32.19,175.8,30.66,46.9,30.27,140.6,27.48
272,725.33,810.67,187.5,40.17,35.2,34.76,46.9,34.49,175.8,31.01,140.6,28.04
273,728.0,813.33,187.5,41.39,46.9,38.65,35.2,37.07,175.8,31.3,140.6,28.24
