frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
178,1898.67,1941.33,46.9,100.0,23.4,78.53,70.3,47.13,93.8,26.03,140.6,22.66
179,1909.33,1952.0,46.9,100.0,23.4,83.35,140.6,40.35,93.8,39.89,70.3,34.4
180,1920.0,1962.67,140.6,100.0,117.2,98.5,93.8,93.85,23.4,76.0,164.1,67.44
181,1930.67,1973.33,46.9,100.0,140.6,91.04,164.1,85.18,117.2,76.18,70.3,70.45
182,1941.33,1984.0,46.9,100.0,70.3,59.12,23.4,55.8,140.6,50.13,187.5,41.46
183,1952.0,1994.67,46.9,100.0,140.6,70.96,164.1,70.14,23.4,58.7,93.8,53.08
184,1962.67,2005.33,46.9,100.0,164.1,55.88,140.6,55.09,23.4,54.61,70.3,42.64
185,1973.33,2016.0,46.9,100.0,70.3,54.57,23.4,54.4,140.6,32.89,164.1,26.51
186,1984.0,2026.67,46.9,100.0,70.3,66.79,23.4,58.39,93.8,20.21,140.6,19.74
187,1994.67,2037.33,46.9,100.0,23.4,70.78,70.3,49.79,140.6,24.9,117.2,24.13
188,2005.33,2048.0,46.9,100.0,23.4,83.05,140.6,39.79,117.2,27.94,70.3,25.54
189,2016.0,2058.67,46.9,100.0,140.6,56.56,23.4,56.53,117.2,46.71,187.5,33.59
190,2026.67,2069.33,46.9,100.0,70.3,76.42,140.6,52.47,164.1,51.69,187.5,50.57
191,2037.33,2080.0,46.9,100.0,70.3,91.4,187.5,34.6,93.8,25.09,23.4,24.72
192,2048.0,2090.67,46.9,100.0,70.3,67.4,23.4,52.3,187.5,20.23,164.1,13.82
193,2058.67,2101.33,46.9,100.0,23.4,90.14,70.3,41.07,164.1,20.84,93.8,20.62
194,2069.33,2112.0,23.4,100.0,46.9,82.57,117.2,20.89,281.2,20.16,187.5,18.46
195,2080.0,2122.67,46.9,100.0,23.4,75.18,70.3,45.62,93.8,17.24,187.5,16.46
196,2090.67,2133.33,46.9,100.0,23.4,58.44,70.3,42.95,187.5,16.65,164.1,11.9
197,2101.33,2144.0,46.9,100.0,23.4,54.98,70.3,50.33,93.8,17.16,210.9,14.98
