frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
174,1856.0,1898.67,23.4,31.6,46.9,27.59,140.6,17.96,93.8,15.93,117.2,15.72
175,1866.67,1909.33,46.9,36.86,23.4,32.27,164.1,16.67,93.8,16.42,140.6,14.81
176,1877.33,1920.0,46.9,44.85,23.4,34.92,70.3,20.45,117.2,18.85,93.8,15.72
177,1888.0,1930.67,46.9,47.39,23.4,35.84,93.8,14.0,70.3,13.78,117.2,12.46
178,1898.67,1941.33,46.9,39.86,23.4,31.3,70.3,18.79,93.8,10.38,140.6,9.03
179,1909.33,1952.0,46.9,27.66,23.4,23.05,140.6,11.16,93.8,11.03,70.3,9.51
180,1920.0,1962.67,140.6,24.69,117.2,24.32,93.8,23.17,23.4,18.76,164.1,16.65
181,1930.67,1973.33,46.9,28.5,140.6,25.95,164.1,24.28,117.2,21.71,70.3,20.08
182,1941.33,1984.0,46.9,39.44,70.3,23.32,23.4,22.01,140.6,19.77,187.5,16.35
183,1952.0,1994.67,46.9,34.73,140.6,24.65,164.1,24.36,23.4,20.39,93.8,18.43
184,1962.67,2005.33,46.9,38.57,164.1,21.55,140.6,21.25,23.4,21.06,70.3,16.45
185,1973.33,2016.0,46.9,66.98,70.3,36.55,23.4,36.44,140.6,22.03,164.1,17.76
186,1984.0,2026.67,46.9,89.37,70.3,59.69,23.4,52.18,93.8,18.06,140.6,17.64
187,1994.67,2037.33,46.9,72.45,23.4,51.27,70.3,36.07,140.6,18.04,117.2,17.48
188,2005.33,2048.0,46.9,41.98,23.4,34.86,140.6,16.7,117.2,11.73,70.3,10.72
189,2016.0,2058.67,46.9,32.31,140.6,18.27,23.4,18.26,117.2,15.09,187.5,10.85
190,2026.67,2069.33,46.9,33.37,70.3,25.5,140.6,17.51,164.1,17.25,187.5,16.87
191,2037.33,2080.0,46.9,45.1,70.3,41.22,187.5,15.61,93.8,11.31,23.4,11.15
192,2048.0,2090.67,46.9,62.61,70.3,42.2,23.4,32.75,187.5,12.67,164.1,8.65
193,2058.67,2101.33,46.9,54.03,23.4,48.7,70.3,22.19,164.1,11.26,93.8,11.14
194,2069.33,2112.0,23.4,53.78,46.9,44.4,117.2,11.24,281.2,10.84,187.5,9.93
195,2080.0,2122.67,46.9,70.73,23.4,53.17,70.3,32.26,93.8,12.2,187.5,11.64
196,2090.67,2133.33,46.9,81.39,23.4,47.56,70.3,34.96,187.5,13.56,164.1,9.69
197,2101.33,2144.0,46.9,79.51,23.4,43.72,70.3,40.01,93.8,13.64,210.9,11.91
198,2112.0,2154.67,46.9,64.35,70.3,40.24,23.4,37.29,93.8,18.79,140.6,9.94
199,2122.67,2165.33,46.9,36.87,70.3,25.04,117.2,20.25,23.4,18.65,140.6,14.14
200,2133.33,2176.0,70.3,23.46,46.9,23.45,93.8,16.49,140.6,13.57,117.2,13.53
201,2144.0,2186.67,46.9,31.31,187.5,20.91,23.4,17.32,70.3,15.67,93.8,15.53
202,2154.67,2197.33,70.3,35.74,93.8,33.83,187.5,29.05,46.9,22.84,117.2,20.98
203,2165.33,2208.0,93.8,32.84,187.5,29.12,70.3,25.26,164.1,19.51,210.9,14.34
204,2176.0,2218.67,93.8,22.43,187.5,22.21,164.1,14.48,117.2,13.11,70.3,13.1
205,2186.67,2229.33,187.5,27.46,210.9,15.15,46.9,14.47,164.1,13.37,93.8,12.76
206,2197.33,2240.0,187.5,35.06,164.1,28.2,210.9,21.59,46.9,20.64,140.6,14.46
